"ACCIDENT_NO","SURFACE_COND","Surface Cond Desc","SURFACE_COND_SEQ"
"32000034265 ","1","Dry","1"
"32000034268 ","1","Dry","1"
"32000034271 ","1","Dry","1"
"32000034272 ","2","Wet","1"
"32000034273 ","1","Dry","1"
"32000034278 ","1","Dry","1"
"32000034280 ","1","Dry","1"
"32000034285 ","1","Dry","1"
"32000034287 ","1","Dry","1"
"32000034290 ","1","Dry","1"
"32000034294 ","2","Wet","1"
"32000034301 ","2","Wet","1"
"32000034304 ","2","Wet","1"
"32000034468 ","1","Dry","1"
"32000034472 ","1","Dry","1"
"32000034546 ","1","Dry","1"
"32000034547 ","1","Dry","1"
"32000034553 ","1","Dry","1"
"32000034563 ","1","Dry","1"
"32000034565 ","2","Wet","1"
"32000034566 ","1","Dry","1"
"32000034567 ","1","Dry","1"
"32000034570 ","1","Dry","1"
"32000034573 ","1","Dry","1"
"32000034644 ","5","Icy","1"
"32000034649 ","1","Dry","1"
"32000034668 ","1","Dry","1"
"32000034674 ","9","Unknown","1"
"32000034677 ","1","Dry","1"
"32000034687 ","1","Dry","1"
"32000034693 ","1","Dry","1"
"32000034698 ","1","Dry","1"
"32000034703 ","1","Dry","1"
"32000034706 ","1","Dry","1"
"32000034722 ","1","Dry","1"
"32000034738 ","1","Dry","1"
"32000034744 ","1","Dry","1"
"32000034756 ","1","Dry","1"
"32000034766 ","1","Dry","1"
"32000034769 ","1","Dry","1"
"32000034773 ","1","Dry","1"
"32000034779 ","1","Dry","1"
"32000034782 ","1","Dry","1"
"32000034793 ","2","Wet","1"
"32000034803 ","1","Dry","1"
"32000034865 ","2","Wet","1"
"32000034925 ","1","Dry","1"
"32000034930 ","1","Dry","1"
"32000034936 ","1","Dry","1"
"32000034937 ","1","Dry","1"
"32000034941 ","2","Wet","1"
"32000034948 ","1","Dry","1"
"32000034951 ","2","Wet","1"
"32000034952 ","1","Dry","1"
"32000034962 ","1","Dry","1"
"32000034970 ","1","Dry","1"
"32000034981 ","1","Dry","1"
"32000034983 ","1","Dry","1"
"32000034994 ","1","Dry","1"
"32000035063 ","1","Dry","1"
"32000035084 ","2","Wet","1"
"32000035136 ","1","Dry","1"
"32000035153 ","1","Dry","1"
"32000035165 ","1","Dry","1"
"32000035170 ","1","Dry","1"
"32000035187 ","2","Wet","1"
"32000035206 ","1","Dry","1"
"32000035233 ","1","Dry","1"
"32000035234 ","1","Dry","1"
"32000035237 ","1","Dry","1"
"32000035240 ","1","Dry","1"
"32000035252 ","1","Dry","1"
"32000035257 ","1","Dry","1"
"32000035266 ","1","Dry","1"
"32000035268 ","1","Dry","1"
"32000035269 ","1","Dry","1"
"32000035273 ","1","Dry","1"
"32000035295 ","2","Wet","1"
"32000035302 ","1","Dry","1"
"32000035303 ","1","Dry","1"
"32000035306 ","1","Dry","1"
"32000035310 ","2","Wet","1"
"32000035316 ","2","Wet","1"
"32000035322 ","2","Wet","1"
"32000035326 ","1","Dry","1"
"32000035328 ","2","Wet","1"
"32000035331 ","2","Wet","1"
"32000035333 ","1","Dry","1"
"32000035337 ","1","Dry","1"
"32000035349 ","2","Wet","1"
"32000035350 ","1","Dry","1"
"32000035371 ","1","Dry","1"
"32000035372 ","1","Dry","1"
"32000035376 ","2","Wet","1"
"32000035399 ","1","Dry","1"
"32000035416 ","2","Wet","1"
"32000035417 ","1","Dry","1"
"32000035419 ","1","Dry","1"
"32000035420 ","2","Wet","1"
"32000035427 ","2","Wet","1"
"32000035432 ","2","Wet","1"
"32000035435 ","1","Dry","1"
"32000035449 ","2","Wet","1"
"32000035451 ","1","Dry","1"
"32000035509 ","1","Dry","1"
"32000035549 ","1","Dry","1"
"32000035572 ","1","Dry","1"
"32000035582 ","1","Dry","1"
"32000035589 ","2","Wet","1"
"32000035629 ","2","Wet","1"
"32000035638 ","1","Dry","1"
"32000035646 ","2","Wet","1"
"32000035653 ","2","Wet","1"
"32000035663 ","2","Wet","1"
"32000035698 ","1","Dry","1"
"32000035713 ","1","Dry","1"
"32000035721 ","1","Dry","1"
"32000035728 ","2","Wet","1"
"32000035730 ","1","Dry","1"
"32000035735 ","1","Dry","1"
"32000035748 ","2","Wet","1"
"32000035758 ","1","Dry","1"
"32000035763 ","2","Wet","1"
"32000035767 ","1","Dry","1"
"32000035773 ","1","Dry","1"
"32000035780 ","2","Wet","1"
"32000035784 ","1","Dry","1"
"32000035788 ","2","Wet","1"
"32000035796 ","1","Dry","1"
"32000035798 ","1","Dry","1"
"32000035943 ","1","Dry","1"
"32000035956 ","1","Dry","1"
"32000035958 ","2","Wet","1"
"32000036029 ","1","Dry","1"
"32000036036 ","1","Dry","1"
"32000036039 ","2","Wet","1"
"32000036043 ","1","Dry","1"
"32000036141 ","2","Wet","1"
"32000036158 ","1","Dry","1"
"32000036183 ","2","Wet","1"
"32000036187 ","1","Dry","1"
"32000036198 ","2","Wet","1"
"32000036236 ","1","Dry","1"
"32000036238 ","2","Wet","1"
"32000036248 ","1","Dry","1"
"32000036250 ","1","Dry","1"
"32000036252 ","1","Dry","1"
"32000036255 ","1","Dry","1"
"32000036256 ","1","Dry","1"
"32000036259 ","1","Dry","1"
"32000036262 ","1","Dry","1"
"32000036269 ","1","Dry","1"
"32000036274 ","2","Wet","1"
"32000036275 ","1","Dry","1"
"32000036278 ","2","Wet","1"
"32000036280 ","2","Wet","1"
"32000036284 ","2","Wet","1"
"32000036286 ","2","Wet","1"
"32000036293 ","1","Dry","1"
"32000036302 ","1","Dry","1"
"32000036307 ","1","Dry","1"
"32000036309 ","1","Dry","1"
"32000036333 ","1","Dry","1"
"32000036346 ","1","Dry","1"
"32000036352 ","1","Dry","1"
"32000036430 ","1","Dry","1"
"32000036433 ","1","Dry","1"
"32000036437 ","2","Wet","1"
"32000036440 ","1","Dry","1"
"32000036446 ","1","Dry","1"
"32000036456 ","2","Wet","1"
"32000036459 ","1","Dry","1"
"32000036461 ","1","Dry","1"
"32000036469 ","1","Dry","1"
"32000036472 ","2","Wet","1"
"32000036474 ","2","Wet","1"
"32000036481 ","1","Dry","1"
"32000036485 ","1","Dry","1"
"32000036489 ","1","Dry","1"
"32000036490 ","1","Dry","1"
"32000036491 ","1","Dry","1"
"32000036508 ","2","Wet","1"
"32000036512 ","1","Dry","1"
"32000036516 ","1","Dry","1"
"32000036519 ","2","Wet","1"
"32000036534 ","2","Wet","1"
"32000036542 ","2","Wet","1"
"32000036547 ","1","Dry","1"
"32000036553 ","1","Dry","1"
"32000036567 ","1","Dry","1"
"32000036568 ","1","Dry","1"
"32000036583 ","1","Dry","1"
"32000036584 ","1","Dry","1"
"32000036591 ","2","Wet","1"
"32000036593 ","2","Wet","1"
"32000036595 ","1","Dry","1"
"32000036601 ","1","Dry","1"
"32000036607 ","1","Dry","1"
"32000036609 ","1","Dry","1"
"32000036615 ","1","Dry","1"
"32000036620 ","1","Dry","1"
"32000036621 ","1","Dry","1"
"32000036625 ","2","Wet","1"
"32000036627 ","1","Dry","1"
"32000036628 ","1","Dry","1"
"32000036629 ","1","Dry","1"
"32000036639 ","1","Dry","1"
"32000036642 ","1","Dry","1"
"32000036645 ","1","Dry","1"
"32000036664 ","1","Dry","1"
"32000036671 ","1","Dry","1"
"32000036723 ","1","Dry","1"
"32000036732 ","1","Dry","1"
"32000036737 ","2","Wet","1"
"32000036758 ","1","Dry","1"
"32000036808 ","2","Wet","1"
"32000036825 ","2","Wet","1"
"32000036840 ","1","Dry","1"
"32000036854 ","1","Dry","1"
"32000036881 ","1","Dry","1"
"32000036893 ","1","Dry","1"
"32000036896 ","1","Dry","1"
"32000036909 ","1","Dry","1"
"32000036914 ","2","Wet","1"
"32000036918 ","1","Dry","1"
"32000036947 ","2","Wet","1"
"32000036951 ","2","Wet","1"
"32000036965 ","1","Dry","1"
"32000036985 ","1","Dry","1"
"32000036991 ","1","Dry","1"
"32000036997 ","1","Dry","1"
"32000037000 ","1","Dry","1"
"32000037010 ","2","Wet","1"
"32000037014 ","1","Dry","1"
"32000037016 ","1","Dry","1"
"32000037030 ","1","Dry","1"
"32000037035 ","1","Dry","1"
"32000037039 ","1","Dry","1"
"32000037042 ","1","Dry","1"
"32000037043 ","2","Wet","1"
"32000037045 ","1","Dry","1"
"32000037047 ","1","Dry","1"
"32000037048 ","1","Dry","1"
"32000037085 ","2","Wet","1"
"32000037088 ","1","Dry","1"
"32000037090 ","2","Wet","1"
"32000037093 ","9","Unknown","1"
"32000037104 ","1","Dry","1"
"32000037113 ","1","Dry","1"
"32000037128 ","2","Wet","1"
"32000037143 ","2","Wet","1"
"32000037193 ","1","Dry","1"
"32000037195 ","1","Dry","1"
"32000037205 ","1","Dry","1"
"32000037224 ","2","Wet","1"
"32000037327 ","1","Dry","1"
"32000037392 ","1","Dry","1"
"32000037395 ","1","Dry","1"
"32000037402 ","2","Wet","1"
"32000037406 ","2","Wet","1"
"32000037415 ","1","Dry","1"
"32000037426 ","1","Dry","1"
"32000037464 ","1","Dry","1"
"32000037471 ","1","Dry","1"
"32000037476 ","1","Dry","1"
"32000037491 ","2","Wet","1"
"32000037499 ","2","Wet","1"
"32000037510 ","2","Wet","1"
"32000037519 ","2","Wet","1"
"32000037542 ","1","Dry","1"
"32000037548 ","1","Dry","1"
"32000037556 ","1","Dry","1"
"32000037560 ","1","Dry","1"
"32000037568 ","2","Wet","1"
"32000037580 ","1","Dry","1"
"32000037587 ","1","Dry","1"
"32000037602 ","1","Dry","1"
"32000037604 ","1","Dry","1"
"32000037608 ","1","Dry","1"
"32000037620 ","2","Wet","1"
"32000037629 ","1","Dry","1"
"32000037630 ","1","Dry","1"
"32000037631 ","1","Dry","1"
"32000037637 ","1","Dry","1"
"32000037642 ","2","Wet","1"
"32000037647 ","1","Dry","1"
"32000037651 ","1","Dry","1"
"32000037679 ","1","Dry","1"
"32000037689 ","1","Dry","1"
"32000037695 ","1","Dry","1"
"32000037700 ","1","Dry","1"
"32000037735 ","1","Dry","1"
"32000037736 ","2","Wet","1"
"32000037783 ","1","Dry","1"
"32000037791 ","1","Dry","1"
"32000037805 ","2","Wet","1"
"32000037809 ","1","Dry","1"
"32000037811 ","1","Dry","1"
"32000037820 ","1","Dry","1"
"32000037840 ","1","Dry","1"
"32000037841 ","1","Dry","1"
"32000037872 ","2","Wet","1"
"32000037877 ","2","Wet","1"
"32000037882 ","1","Dry","1"
"32000037885 ","1","Dry","1"
"32000037924 ","1","Dry","1"
"32000037933 ","2","Wet","1"
"32000037964 ","1","Dry","1"
"32000037966 ","1","Dry","1"
"32000037967 ","1","Dry","1"
"32000037968 ","1","Dry","1"
"32000037987 ","2","Wet","1"
"32000037994 ","1","Dry","1"
"32000037996 ","1","Dry","1"
"32000037999 ","9","Unknown","1"
"32000038003 ","2","Wet","1"
"32000038022 ","1","Dry","1"
"32000038030 ","2","Wet","1"
"32000038032 ","1","Dry","1"
"32000038047 ","1","Dry","1"
"32000038059 ","1","Dry","1"
"32000038063 ","2","Wet","1"
"32000038071 ","2","Wet","1"
"32000038079 ","1","Dry","1"
"32000038188 ","1","Dry","1"
"32000038199 ","1","Dry","1"
